group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reads,100,queries,100,elements,39800.0,ns,1
reads,100,queries,100,elements,74400.0,ns,2
reads,100,queries,100,elements,110900.0,ns,3
reads,100,queries,100,elements,184000.0,ns,4
reads,100,queries,100,elements,185100.0,ns,5
reads,100,queries,100,elements,262600.0,ns,6
reads,100,queries,100,elements,349400.0,ns,7
reads,100,queries,100,elements,336700.0,ns,8
reads,100,queries,100,elements,357800.0,ns,9
reads,100,queries,100,elements,440800.0,ns,10
reads,100,queries,100,elements,482900.0,ns,11
reads,100,queries,100,elements,442800.0,ns,12
reads,100,queries,100,elements,530500.0,ns,13
reads,100,queries,100,elements,578400.0,ns,14
reads,100,queries,100,elements,580000.0,ns,15
reads,100,queries,100,elements,628600.0,ns,16
reads,100,queries,100,elements,696900.0,ns,17
reads,100,queries,100,elements,789100.0,ns,18
reads,100,queries,100,elements,846100.0,ns,19
reads,100,queries,100,elements,756000.0,ns,20
reads,100,queries,100,elements,791000.0,ns,21
reads,100,queries,100,elements,842600.0,ns,22
reads,100,queries,100,elements,858000.0,ns,23
reads,100,queries,100,elements,921100.0,ns,24
reads,100,queries,100,elements,1011700.0,ns,25
reads,100,queries,100,elements,1042000.0,ns,26
reads,100,queries,100,elements,1012200.0,ns,27
reads,100,queries,100,elements,1079600.0,ns,28
reads,100,queries,100,elements,1259500.0,ns,29
reads,100,queries,100,elements,1409400.0,ns,30
reads,100,queries,100,elements,1231900.0,ns,31
reads,100,queries,100,elements,1335400.0,ns,32
reads,100,queries,100,elements,1328800.0,ns,33
reads,100,queries,100,elements,1558600.0,ns,34
reads,100,queries,100,elements,1399100.0,ns,35
reads,100,queries,100,elements,1374100.0,ns,36
reads,100,queries,100,elements,1407300.0,ns,37
reads,100,queries,100,elements,1526100.0,ns,38
reads,100,queries,100,elements,1490000.0,ns,39
reads,100,queries,100,elements,1551400.0,ns,40
reads,100,queries,100,elements,1682400.0,ns,41
reads,100,queries,100,elements,1684800.0,ns,42
reads,100,queries,100,elements,1916100.0,ns,43
reads,100,queries,100,elements,1917500.0,ns,44
reads,100,queries,100,elements,1777600.0,ns,45
reads,100,queries,100,elements,1793400.0,ns,46
reads,100,queries,100,elements,1860400.0,ns,47
reads,100,queries,100,elements,1836500.0,ns,48
reads,100,queries,100,elements,1915300.0,ns,49
reads,100,queries,100,elements,2026600.0,ns,50
reads,100,queries,100,elements,2201000.0,ns,51
reads,100,queries,100,elements,2131600.0,ns,52
reads,100,queries,100,elements,2144600.0,ns,53
reads,100,queries,100,elements,2075300.0,ns,54
reads,100,queries,100,elements,2301200.0,ns,55
reads,100,queries,100,elements,2326900.0,ns,56
reads,100,queries,100,elements,2407700.0,ns,57
reads,100,queries,100,elements,2645000.0,ns,58
reads,100,queries,100,elements,2342900.0,ns,59
reads,100,queries,100,elements,2503800.0,ns,60
reads,100,queries,100,elements,2348100.0,ns,61
reads,100,queries,100,elements,2394100.0,ns,62
reads,100,queries,100,elements,2384400.0,ns,63
reads,100,queries,100,elements,2747300.0,ns,64
reads,100,queries,100,elements,2560800.0,ns,65
reads,100,queries,100,elements,2640000.0,ns,66
reads,100,queries,100,elements,2815800.0,ns,67
reads,100,queries,100,elements,2605200.0,ns,68
reads,100,queries,100,elements,2882600.0,ns,69
reads,100,queries,100,elements,3500100.0,ns,70
reads,100,queries,100,elements,2923900.0,ns,71
reads,100,queries,100,elements,3075500.0,ns,72
reads,100,queries,100,elements,2828800.0,ns,73
reads,100,queries,100,elements,2852400.0,ns,74
reads,100,queries,100,elements,2904700.0,ns,75
reads,100,queries,100,elements,3211700.0,ns,76
reads,100,queries,100,elements,2978900.0,ns,77
reads,100,queries,100,elements,3144400.0,ns,78
reads,100,queries,100,elements,3008600.0,ns,79
reads,100,queries,100,elements,3628700.0,ns,80
reads,100,queries,100,elements,3913300.0,ns,81
reads,100,queries,100,elements,3256000.0,ns,82
reads,100,queries,100,elements,3428900.0,ns,83
reads,100,queries,100,elements,3452600.0,ns,84
reads,100,queries,100,elements,3297200.0,ns,85
reads,100,queries,100,elements,3657300.0,ns,86
reads,100,queries,100,elements,3697900.0,ns,87
reads,100,queries,100,elements,3866200.0,ns,88
reads,100,queries,100,elements,3856100.0,ns,89
reads,100,queries,100,elements,3840800.0,ns,90
reads,100,queries,100,elements,3622000.0,ns,91
reads,100,queries,100,elements,4108500.0,ns,92
reads,100,queries,100,elements,3665800.0,ns,93
reads,100,queries,100,elements,3851700.0,ns,94
reads,100,queries,100,elements,3918200.0,ns,95
reads,100,queries,100,elements,4259700.0,ns,96
reads,100,queries,100,elements,6525400.0,ns,97
reads,100,queries,100,elements,5967100.0,ns,98
reads,100,queries,100,elements,4553600.0,ns,99
reads,100,queries,100,elements,4401500.0,ns,100
reads,100,queries,100,elements,4336200.0,ns,101
reads,100,queries,100,elements,4076300.0,ns,102
reads,100,queries,100,elements,4418400.0,ns,103
reads,100,queries,100,elements,4528400.0,ns,104
reads,100,queries,100,elements,4294500.0,ns,105
reads,100,queries,100,elements,4245400.0,ns,106
reads,100,queries,100,elements,6789400.0,ns,107
reads,100,queries,100,elements,4569000.0,ns,108
reads,100,queries,100,elements,4577200.0,ns,109
reads,100,queries,100,elements,4442900.0,ns,110
reads,100,queries,100,elements,4319800.0,ns,111
reads,100,queries,100,elements,4328400.0,ns,112
reads,100,queries,100,elements,4462400.0,ns,113
reads,100,queries,100,elements,4524600.0,ns,114
reads,100,queries,100,elements,4552500.0,ns,115
reads,100,queries,100,elements,4793600.0,ns,116
reads,100,queries,100,elements,7322700.0,ns,117
reads,100,queries,100,elements,6026200.0,ns,118
reads,100,queries,100,elements,5110200.0,ns,119
reads,100,queries,100,elements,4962800.0,ns,120
reads,100,queries,100,elements,4783500.0,ns,121
reads,100,queries,100,elements,5253400.0,ns,122
reads,100,queries,100,elements,4969000.0,ns,123
reads,100,queries,100,elements,6155700.0,ns,124
reads,100,queries,100,elements,5236100.0,ns,125
reads,100,queries,100,elements,5449200.0,ns,126
reads,100,queries,100,elements,5462200.0,ns,127
reads,100,queries,100,elements,5576400.0,ns,128
reads,100,queries,100,elements,5272900.0,ns,129
reads,100,queries,100,elements,5101000.0,ns,130
reads,100,queries,100,elements,5536700.0,ns,131
reads,100,queries,100,elements,5380100.0,ns,132
reads,100,queries,100,elements,5216400.0,ns,133
reads,100,queries,100,elements,5733900.0,ns,134
reads,100,queries,100,elements,5667500.0,ns,135
reads,100,queries,100,elements,5434500.0,ns,136
reads,100,queries,100,elements,5605300.0,ns,137
reads,100,queries,100,elements,5874400.0,ns,138
reads,100,queries,100,elements,5581300.0,ns,139
reads,100,queries,100,elements,5757900.0,ns,140
reads,100,queries,100,elements,6117000.0,ns,141
reads,100,queries,100,elements,5724000.0,ns,142
reads,100,queries,100,elements,6118400.0,ns,143
reads,100,queries,100,elements,6421800.0,ns,144
reads,100,queries,100,elements,6062200.0,ns,145
reads,100,queries,100,elements,6066300.0,ns,146
reads,100,queries,100,elements,5914200.0,ns,147
reads,100,queries,100,elements,5685100.0,ns,148
reads,100,queries,100,elements,6235300.0,ns,149
reads,100,queries,100,elements,6604200.0,ns,150
reads,100,queries,100,elements,6308500.0,ns,151
reads,100,queries,100,elements,6372400.0,ns,152
reads,100,queries,100,elements,6190400.0,ns,153
reads,100,queries,100,elements,6343200.0,ns,154
reads,100,queries,100,elements,6343300.0,ns,155
reads,100,queries,100,elements,6157700.0,ns,156
reads,100,queries,100,elements,6590100.0,ns,157
reads,100,queries,100,elements,6555800.0,ns,158
reads,100,queries,100,elements,6739900.0,ns,159
reads,100,queries,100,elements,6543600.0,ns,160
reads,100,queries,100,elements,6419100.0,ns,161
reads,100,queries,100,elements,7231500.0,ns,162
reads,100,queries,100,elements,6769200.0,ns,163
reads,100,queries,100,elements,6861500.0,ns,164
reads,100,queries,100,elements,6660600.0,ns,165
reads,100,queries,100,elements,6567400.0,ns,166
reads,100,queries,100,elements,6755800.0,ns,167
reads,100,queries,100,elements,6527900.0,ns,168
reads,100,queries,100,elements,7058500.0,ns,169
reads,100,queries,100,elements,7023600.0,ns,170
reads,100,queries,100,elements,6712600.0,ns,171
reads,100,queries,100,elements,7285400.0,ns,172
reads,100,queries,100,elements,6743500.0,ns,173
reads,100,queries,100,elements,7649100.0,ns,174
reads,100,queries,100,elements,6926100.0,ns,175
reads,100,queries,100,elements,7193000.0,ns,176
reads,100,queries,100,elements,6998100.0,ns,177
reads,100,queries,100,elements,7540500.0,ns,178
reads,100,queries,100,elements,7320100.0,ns,179
reads,100,queries,100,elements,7395200.0,ns,180
reads,100,queries,100,elements,7452300.0,ns,181
reads,100,queries,100,elements,7438300.0,ns,182
reads,100,queries,100,elements,7197500.0,ns,183
reads,100,queries,100,elements,7850100.0,ns,184
reads,100,queries,100,elements,7419300.0,ns,185
reads,100,queries,100,elements,7890400.0,ns,186
reads,100,queries,100,elements,7524300.0,ns,187
reads,100,queries,100,elements,7512100.0,ns,188
reads,100,queries,100,elements,7571300.0,ns,189
reads,100,queries,100,elements,7830800.0,ns,190
reads,100,queries,100,elements,7449900.0,ns,191
reads,100,queries,100,elements,8168300.0,ns,192
reads,100,queries,100,elements,7980700.0,ns,193
reads,100,queries,100,elements,7844800.0,ns,194
reads,100,queries,100,elements,7661000.0,ns,195
reads,100,queries,100,elements,7821300.0,ns,196
reads,100,queries,100,elements,7935500.0,ns,197
reads,100,queries,100,elements,7863800.0,ns,198
reads,100,queries,100,elements,8220700.0,ns,199
reads,100,queries,100,elements,8170000.0,ns,200
reads,100,queries,100,elements,8137300.0,ns,201
reads,100,queries,100,elements,8642300.0,ns,202
reads,100,queries,100,elements,8135500.0,ns,203
reads,100,queries,100,elements,8609600.0,ns,204
reads,100,queries,100,elements,8745900.0,ns,205
reads,100,queries,100,elements,9010700.0,ns,206
reads,100,queries,100,elements,9053100.0,ns,207
reads,100,queries,100,elements,16619900.0,ns,208
reads,100,queries,100,elements,9161600.0,ns,209
reads,100,queries,100,elements,9112000.0,ns,210
reads,100,queries,100,elements,9515800.0,ns,211
reads,100,queries,100,elements,10014600.0,ns,212
reads,100,queries,100,elements,8666700.0,ns,213
reads,100,queries,100,elements,9510300.0,ns,214
reads,100,queries,100,elements,8777000.0,ns,215
reads,100,queries,100,elements,8520600.0,ns,216
reads,100,queries,100,elements,8561600.0,ns,217
reads,100,queries,100,elements,8673100.0,ns,218
reads,100,queries,100,elements,8881100.0,ns,219
reads,100,queries,100,elements,9078000.0,ns,220
reads,100,queries,100,elements,8711500.0,ns,221
reads,100,queries,100,elements,9917700.0,ns,222
reads,100,queries,100,elements,9083400.0,ns,223
reads,100,queries,100,elements,9384100.0,ns,224
reads,100,queries,100,elements,10048100.0,ns,225
reads,100,queries,100,elements,9236100.0,ns,226
reads,100,queries,100,elements,9191200.0,ns,227
reads,100,queries,100,elements,9304000.0,ns,228
reads,100,queries,100,elements,9747600.0,ns,229
reads,100,queries,100,elements,9135300.0,ns,230
reads,100,queries,100,elements,9425600.0,ns,231
reads,100,queries,100,elements,9528300.0,ns,232
reads,100,queries,100,elements,9536500.0,ns,233
reads,100,queries,100,elements,9555800.0,ns,234
reads,100,queries,100,elements,10033800.0,ns,235
reads,100,queries,100,elements,9696800.0,ns,236
reads,100,queries,100,elements,9440400.0,ns,237
reads,100,queries,100,elements,10371300.0,ns,238
reads,100,queries,100,elements,9823400.0,ns,239
reads,100,queries,100,elements,9765300.0,ns,240
reads,100,queries,100,elements,10374800.0,ns,241
reads,100,queries,100,elements,9370400.0,ns,242
reads,100,queries,100,elements,9550200.0,ns,243
reads,100,queries,100,elements,9727500.0,ns,244
reads,100,queries,100,elements,10387500.0,ns,245
reads,100,queries,100,elements,10541300.0,ns,246
reads,100,queries,100,elements,10288000.0,ns,247
reads,100,queries,100,elements,10678900.0,ns,248
reads,100,queries,100,elements,10429700.0,ns,249
reads,100,queries,100,elements,10906700.0,ns,250
reads,100,queries,100,elements,10642300.0,ns,251
reads,100,queries,100,elements,10688300.0,ns,252
reads,100,queries,100,elements,11030800.0,ns,253
reads,100,queries,100,elements,10244900.0,ns,254
reads,100,queries,100,elements,10531700.0,ns,255
reads,100,queries,100,elements,10785500.0,ns,256
reads,100,queries,100,elements,10787800.0,ns,257
reads,100,queries,100,elements,10836500.0,ns,258
reads,100,queries,100,elements,10832600.0,ns,259
reads,100,queries,100,elements,10755700.0,ns,260
reads,100,queries,100,elements,10614900.0,ns,261
reads,100,queries,100,elements,10896000.0,ns,262
reads,100,queries,100,elements,10811000.0,ns,263
reads,100,queries,100,elements,10834500.0,ns,264
reads,100,queries,100,elements,10980700.0,ns,265
reads,100,queries,100,elements,10773800.0,ns,266
reads,100,queries,100,elements,10632800.0,ns,267
reads,100,queries,100,elements,11755200.0,ns,268
reads,100,queries,100,elements,11634100.0,ns,269
reads,100,queries,100,elements,11247400.0,ns,270
reads,100,queries,100,elements,11571200.0,ns,271
reads,100,queries,100,elements,11874900.0,ns,272
reads,100,queries,100,elements,12224900.0,ns,273
reads,100,queries,100,elements,12368200.0,ns,274
reads,100,queries,100,elements,12446300.0,ns,275
reads,100,queries,100,elements,11023300.0,ns,276
reads,100,queries,100,elements,11374800.0,ns,277
reads,100,queries,100,elements,11266200.0,ns,278
reads,100,queries,100,elements,11325300.0,ns,279
reads,100,queries,100,elements,11350300.0,ns,280
reads,100,queries,100,elements,11559300.0,ns,281
reads,100,queries,100,elements,12200500.0,ns,282
reads,100,queries,100,elements,11228500.0,ns,283
reads,100,queries,100,elements,11556000.0,ns,284
reads,100,queries,100,elements,11628900.0,ns,285
reads,100,queries,100,elements,11562300.0,ns,286
reads,100,queries,100,elements,11798000.0,ns,287
reads,100,queries,100,elements,11869000.0,ns,288
reads,100,queries,100,elements,11850900.0,ns,289
reads,100,queries,100,elements,11973400.0,ns,290
reads,100,queries,100,elements,11683500.0,ns,291
reads,100,queries,100,elements,12208400.0,ns,292
reads,100,queries,100,elements,11573500.0,ns,293
reads,100,queries,100,elements,11879200.0,ns,294
reads,100,queries,100,elements,12879900.0,ns,295
reads,100,queries,100,elements,12123600.0,ns,296
reads,100,queries,100,elements,12209000.0,ns,297
reads,100,queries,100,elements,11832600.0,ns,298
reads,100,queries,100,elements,12377700.0,ns,299
reads,100,queries,100,elements,12282000.0,ns,300
reads,100,queries,100,elements,13483000.0,ns,301
reads,100,queries,100,elements,12647500.0,ns,302
reads,100,queries,100,elements,12732000.0,ns,303
reads,100,queries,100,elements,12369600.0,ns,304
reads,100,queries,100,elements,12485700.0,ns,305
reads,100,queries,100,elements,12700100.0,ns,306
reads,100,queries,100,elements,12814000.0,ns,307
reads,100,queries,100,elements,12764400.0,ns,308
reads,100,queries,100,elements,12811700.0,ns,309
reads,100,queries,100,elements,13744600.0,ns,310
reads,100,queries,100,elements,12861100.0,ns,311
reads,100,queries,100,elements,12438200.0,ns,312
reads,100,queries,100,elements,12697600.0,ns,313
reads,100,queries,100,elements,12659000.0,ns,314
reads,100,queries,100,elements,12862000.0,ns,315
reads,100,queries,100,elements,13020000.0,ns,316
reads,100,queries,100,elements,13065100.0,ns,317
reads,100,queries,100,elements,12426500.0,ns,318
reads,100,queries,100,elements,12746600.0,ns,319
reads,100,queries,100,elements,13151000.0,ns,320
reads,100,queries,100,elements,13055700.0,ns,321
reads,100,queries,100,elements,12828800.0,ns,322
reads,100,queries,100,elements,13106800.0,ns,323
reads,100,queries,100,elements,13322500.0,ns,324
reads,100,queries,100,elements,13145400.0,ns,325
reads,100,queries,100,elements,13613000.0,ns,326
reads,100,queries,100,elements,13035900.0,ns,327
reads,100,queries,100,elements,13383700.0,ns,328
reads,100,queries,100,elements,13190500.0,ns,329
reads,100,queries,100,elements,13885300.0,ns,330
reads,100,queries,100,elements,13582700.0,ns,331
reads,100,queries,100,elements,13362900.0,ns,332
reads,100,queries,100,elements,13691600.0,ns,333
reads,100,queries,100,elements,13617000.0,ns,334
reads,100,queries,100,elements,13600700.0,ns,335
reads,100,queries,100,elements,14109700.0,ns,336
reads,100,queries,100,elements,15743100.0,ns,337
reads,100,queries,100,elements,13719400.0,ns,338
reads,100,queries,100,elements,14022400.0,ns,339
reads,100,queries,100,elements,13850100.0,ns,340
reads,100,queries,100,elements,13754100.0,ns,341
reads,100,queries,100,elements,13828100.0,ns,342
reads,100,queries,100,elements,14171700.0,ns,343
reads,100,queries,100,elements,13955300.0,ns,344
reads,100,queries,100,elements,14055700.0,ns,345
reads,100,queries,100,elements,14420500.0,ns,346
reads,100,queries,100,elements,14570000.0,ns,347
reads,100,queries,100,elements,14164500.0,ns,348
reads,100,queries,100,elements,14482700.0,ns,349
reads,100,queries,100,elements,14638700.0,ns,350
reads,100,queries,100,elements,14873800.0,ns,351
reads,100,queries,100,elements,13979300.0,ns,352
reads,100,queries,100,elements,14383600.0,ns,353
reads,100,queries,100,elements,14385000.0,ns,354
reads,100,queries,100,elements,14398800.0,ns,355
reads,100,queries,100,elements,14316500.0,ns,356
reads,100,queries,100,elements,14593800.0,ns,357
reads,100,queries,100,elements,14400300.0,ns,358
reads,100,queries,100,elements,14258100.0,ns,359
reads,100,queries,100,elements,14421700.0,ns,360
reads,100,queries,100,elements,14797000.0,ns,361
reads,100,queries,100,elements,14646400.0,ns,362
reads,100,queries,100,elements,14718800.0,ns,363
reads,100,queries,100,elements,15107200.0,ns,364
reads,100,queries,100,elements,14768500.0,ns,365
reads,100,queries,100,elements,14890600.0,ns,366
reads,100,queries,100,elements,14659600.0,ns,367
reads,100,queries,100,elements,14880600.0,ns,368
reads,100,queries,100,elements,15364600.0,ns,369
reads,100,queries,100,elements,15001800.0,ns,370
reads,100,queries,100,elements,14807000.0,ns,371
reads,100,queries,100,elements,15024800.0,ns,372
reads,100,queries,100,elements,15595800.0,ns,373
reads,100,queries,100,elements,15456300.0,ns,374
reads,100,queries,100,elements,15399100.0,ns,375
reads,100,queries,100,elements,15829100.0,ns,376
reads,100,queries,100,elements,16236700.0,ns,377
reads,100,queries,100,elements,15551100.0,ns,378
reads,100,queries,100,elements,16093400.0,ns,379
reads,100,queries,100,elements,15285200.0,ns,380
reads,100,queries,100,elements,15203600.0,ns,381
reads,100,queries,100,elements,15776100.0,ns,382
reads,100,queries,100,elements,16710000.0,ns,383
reads,100,queries,100,elements,16420600.0,ns,384
reads,100,queries,100,elements,16201000.0,ns,385
reads,100,queries,100,elements,16082100.0,ns,386
reads,100,queries,100,elements,15622800.0,ns,387
reads,100,queries,100,elements,15463600.0,ns,388
reads,100,queries,100,elements,15339700.0,ns,389
reads,100,queries,100,elements,16095200.0,ns,390
reads,100,queries,100,elements,15990900.0,ns,391
reads,100,queries,100,elements,16254500.0,ns,392
reads,100,queries,100,elements,15861600.0,ns,393
reads,100,queries,100,elements,15962500.0,ns,394
reads,100,queries,100,elements,15957300.0,ns,395
reads,100,queries,100,elements,15851200.0,ns,396
reads,100,queries,100,elements,16165300.0,ns,397
reads,100,queries,100,elements,16295800.0,ns,398
reads,100,queries,100,elements,15937600.0,ns,399
reads,100,queries,100,elements,15806000.0,ns,400
reads,100,queries,100,elements,16429800.0,ns,401
reads,100,queries,100,elements,16376200.0,ns,402
reads,100,queries,100,elements,16395300.0,ns,403
reads,100,queries,100,elements,16396200.0,ns,404
reads,100,queries,100,elements,17743700.0,ns,405
reads,100,queries,100,elements,16826900.0,ns,406
reads,100,queries,100,elements,16663900.0,ns,407
reads,100,queries,100,elements,17093000.0,ns,408
reads,100,queries,100,elements,16895000.0,ns,409
reads,100,queries,100,elements,16809300.0,ns,410
reads,100,queries,100,elements,16829000.0,ns,411
reads,100,queries,100,elements,17260000.0,ns,412
reads,100,queries,100,elements,16994900.0,ns,413
reads,100,queries,100,elements,16976200.0,ns,414
reads,100,queries,100,elements,17827800.0,ns,415
reads,100,queries,100,elements,16345700.0,ns,416
reads,100,queries,100,elements,16887800.0,ns,417
reads,100,queries,100,elements,16962800.0,ns,418
reads,100,queries,100,elements,16851100.0,ns,419
reads,100,queries,100,elements,17281400.0,ns,420
reads,100,queries,100,elements,18120400.0,ns,421
reads,100,queries,100,elements,17279700.0,ns,422
reads,100,queries,100,elements,17483200.0,ns,423
reads,100,queries,100,elements,17289400.0,ns,424
reads,100,queries,100,elements,17236800.0,ns,425
reads,100,queries,100,elements,17234500.0,ns,426
reads,100,queries,100,elements,17315200.0,ns,427
reads,100,queries,100,elements,17102400.0,ns,428
reads,100,queries,100,elements,17917600.0,ns,429
reads,100,queries,100,elements,18143400.0,ns,430
reads,100,queries,100,elements,20782100.0,ns,431
reads,100,queries,100,elements,17733100.0,ns,432
reads,100,queries,100,elements,17841800.0,ns,433
reads,100,queries,100,elements,18391800.0,ns,434
reads,100,queries,100,elements,17289900.0,ns,435
reads,100,queries,100,elements,17582200.0,ns,436
reads,100,queries,100,elements,17375900.0,ns,437
reads,100,queries,100,elements,17654200.0,ns,438
reads,100,queries,100,elements,17650900.0,ns,439
reads,100,queries,100,elements,17675900.0,ns,440
reads,100,queries,100,elements,17810000.0,ns,441
reads,100,queries,100,elements,18166700.0,ns,442
reads,100,queries,100,elements,17962700.0,ns,443
reads,100,queries,100,elements,17725100.0,ns,444
reads,100,queries,100,elements,18001700.0,ns,445
reads,100,queries,100,elements,18098600.0,ns,446
reads,100,queries,100,elements,18026400.0,ns,447
reads,100,queries,100,elements,18952600.0,ns,448
reads,100,queries,100,elements,22140800.0,ns,449
reads,100,queries,100,elements,20614900.0,ns,450
reads,100,queries,100,elements,18239700.0,ns,451
reads,100,queries,100,elements,18234900.0,ns,452
reads,100,queries,100,elements,18442400.0,ns,453
reads,100,queries,100,elements,18103000.0,ns,454
reads,100,queries,100,elements,17997600.0,ns,455
reads,100,queries,100,elements,18216800.0,ns,456
reads,100,queries,100,elements,18587900.0,ns,457
reads,100,queries,100,elements,18914800.0,ns,458
reads,100,queries,100,elements,19554500.0,ns,459
reads,100,queries,100,elements,18714700.0,ns,460
reads,100,queries,100,elements,19574900.0,ns,461
reads,100,queries,100,elements,19118000.0,ns,462
reads,100,queries,100,elements,19855700.0,ns,463
reads,100,queries,100,elements,20373700.0,ns,464
reads,100,queries,100,elements,19670900.0,ns,465
reads,100,queries,100,elements,19687500.0,ns,466
reads,100,queries,100,elements,19437700.0,ns,467
reads,100,queries,100,elements,19485800.0,ns,468
reads,100,queries,100,elements,19805600.0,ns,469
reads,100,queries,100,elements,19702600.0,ns,470
reads,100,queries,100,elements,19654600.0,ns,471
reads,100,queries,100,elements,19591000.0,ns,472
reads,100,queries,100,elements,19947200.0,ns,473
reads,100,queries,100,elements,19742200.0,ns,474
reads,100,queries,100,elements,19642900.0,ns,475
reads,100,queries,100,elements,19935200.0,ns,476
reads,100,queries,100,elements,20049400.0,ns,477
reads,100,queries,100,elements,19920400.0,ns,478
reads,100,queries,100,elements,19444700.0,ns,479
reads,100,queries,100,elements,20162400.0,ns,480
reads,100,queries,100,elements,20346500.0,ns,481
reads,100,queries,100,elements,20071300.0,ns,482
reads,100,queries,100,elements,19967600.0,ns,483
reads,100,queries,100,elements,20166800.0,ns,484
reads,100,queries,100,elements,21028500.0,ns,485
reads,100,queries,100,elements,20584600.0,ns,486
reads,100,queries,100,elements,19651900.0,ns,487
reads,100,queries,100,elements,20504600.0,ns,488
reads,100,queries,100,elements,19991000.0,ns,489
reads,100,queries,100,elements,19810400.0,ns,490
reads,100,queries,100,elements,20042500.0,ns,491
reads,100,queries,100,elements,20201000.0,ns,492
reads,100,queries,100,elements,20213800.0,ns,493
reads,100,queries,100,elements,20200400.0,ns,494
reads,100,queries,100,elements,20110500.0,ns,495
reads,100,queries,100,elements,20669100.0,ns,496
reads,100,queries,100,elements,20022900.0,ns,497
reads,100,queries,100,elements,20341400.0,ns,498
reads,100,queries,100,elements,20425800.0,ns,499
reads,100,queries,100,elements,20165600.0,ns,500
reads,100,queries,100,elements,21503800.0,ns,501
reads,100,queries,100,elements,21108600.0,ns,502
